CARID,CUSTID,MODEL,DESCR,VIN,LICPLATE
62000985,10000002,Tesla,Tesla Model S,CJ42RK2H54A975G10,1537-EO-7
62000986,10000000,VW,VW Jetta,E208JC5SD77TTR36L,3698-QJ-5
62000987,10000004,Toyota,Toyota RAV4,EJ2NNHQP7U2D7AMWQ,4856-CP-5
62000988,10000002,Opel,Opel Corsa,D476J4828K5QWB1N8,7513-HJ-7
62000989,10000000,Audi,Audi A6,82YOSO83G5L239N12,5293-AS-7
62000990,10000004,Opel,Opel Astra H,6OE9MZYR24XRG949L,3210-HF-7
62000991,10000003,Toyota,Toyota Camry,HK5B5TH3P30HI4TL0,8665-QN-2
62000992,10000002,Opel,Opel Astra H,50GNOQCW781O5KW08,8706-WE-7
62000993,10000002,BMW,BMW M4,KC2XGO40HQ9371E99,0810-OW-5
62000994,10000000,Opel,Opel Astra H,SP8W4M8V1KRHEP3X2,1130-PY-7
62000995,10000000,BMW,BMW M4,9TH0HN988C9WW65NM,7522-TX-7
62000996,10000003,VW,VW Golf 4,J6LA4PR0KN90V00BB,6913-RB-5
62000997,10000004,Opel,Opel Astra H,AF434GT6H31VVKO9A,3223-HB-7
62000998,10000004,Opel,Opel Astra H,B1854903JG6TV5KZ0,9751-TS-7
62000999,10000003,Audi,Audi A6,63JM5W9R6SK4HXYB2,2062-PM-6
